ipv4,ip_id,scan_id,port,service,anomaly
143.174.22.102,8,166,"[np.int64(161), np.int64(5000)]","[np.str_('SNMP'), np.str_('HTTP')]",0
143.174.22.102,8,167,"[np.int64(995), np.int64(2222)]","[np.str_('POP3'), np.str_('SSH')]",0
143.174.22.102,8,168,"[np.int64(110), np.int64(2096), np.int64(993), np.int64(64295)]","[np.str_('POP3'), np.str_('HTTP'), np.str_('IMAP'), np.str_('SSH')]",0
143.174.22.102,8,169,"[np.int64(2095), np.int64(5257), np.int64(465), np.int64(993)]","[np.str_('HTTP'), np.str_('SSH'), np.str_('SMTP'), np.str_('IMAP')]",0
143.174.22.102,8,170,"[np.int64(587), np.int64(21)]","[np.str_('SMTP'), np.str_('FTP')]",0
143.174.22.102,8,171,"[np.int64(80), np.int64(993), np.int64(12215)]","[np.str_('HTTP'), np.str_('IMAP'), np.str_('SMTP')]",0
143.174.22.102,8,172,"[np.int64(80), np.int64(143)]","[np.str_('HTTP'), np.str_('IMAP')]",0
143.174.22.102,8,173,"[np.int64(21), np.int64(587)]","[np.str_('FTP'), np.str_('SMTP')]",0
143.174.22.102,8,174,"[np.int64(2087), np.int64(110), np.int64(902), np.int64(3389)]","[np.str_('HTTP'), np.str_('POP3'), np.str_('SMTP'), np.str_('RDP')]",0
143.174.22.102,8,175,"[np.int64(22), np.int64(5671), np.int64(2087)]","[np.str_('SSH'), np.str_('AMQP'), np.str_('HTTP')]",0
143.174.22.102,8,176,"[np.int64(26), np.int64(143), np.int64(80), np.int64(21), np.int64(995)]","[np.str_('SMTP'), np.str_('IMAP'), np.str_('HTTP'), np.str_('FTP'), np.str_('POP3')]",0
143.174.22.102,8,177,"[np.int64(587), np.int64(22), np.int64(2095)]","[np.str_('SMTP'), np.str_('SSH'), np.str_('HTTP')]",0
143.174.22.102,8,178,"[np.int64(110), np.int64(1723), np.int64(587), np.int64(2087)]","[np.str_('POP3'), np.str_('PPTP'), np.str_('SMTP'), np.str_('HTTP')]",0
143.174.22.102,8,179,"[np.int64(25), np.int64(53), np.int64(631)]","[np.str_('SMTP'), np.str_('DNS'), np.str_('IPP')]",0
2.210.28.193,9,180,"[np.int64(2077), np.int64(465)]","[np.str_('HTTP'), np.str_('SMTP')]",0
2.210.28.193,9,181,"[np.int64(5938), np.int64(80), np.int64(4747), np.int64(110), np.int64(465), np.int64(21)]","[np.str_('TEAM'), np.str_('HTTP'), np.str_('UNKNOWN'), np.str_('POP3'), np.str_('SMTP'), np.str_('FTP')]",0
2.210.28.193,9,182,"[np.int64(995), np.int64(2096), np.int64(465)]","[np.str_('POP3'), np.str_('HTTP'), np.str_('SMTP')]",0
2.210.28.193,9,183,"[np.int64(2079), np.int64(110), np.int64(21), np.int64(22), np.int64(25)]","[np.str_('HTTP'), np.str_('POP3'), np.str_('FTP'), np.str_('SSH'), np.str_('SMTP')]",0
2.210.28.193,9,184,"[np.int64(800), np.int64(110), np.int64(53)]","[np.str_('HTTP'), np.str_('POP3'), np.str_('DNS')]",0
2.210.28.193,9,185,[np.int64(2095)],[np.str_('HTTP')],0
2.210.28.193,9,186,"[np.int64(2077), np.int64(3306)]","[np.str_('HTTP'), np.str_('MYSQL')]",0
2.210.28.193,9,187,"[np.int64(465), np.int64(21), np.int64(2082)]","[np.str_('SMTP'), np.str_('FTP'), np.str_('HTTP')]",0
2.210.28.193,9,188,"[np.int64(3306), np.int64(1433)]","[np.str_('MYSQL'), np.str_('MSSQL')]",0
2.210.28.193,9,189,"[np.int64(26), np.int64(80)]","[np.str_('SMTP'), np.str_('HTTP')]",0
2.210.28.193,9,190,"[np.int64(25), np.int64(2095), np.int64(161), np.int64(1433), np.int64(22), np.int64(21)]","[np.str_('SMTP'), np.str_('HTTP'), np.str_('SNMP'), np.str_('MSSQL'), np.str_('SSH'), np.str_('FTP')]",0
2.210.28.193,9,191,"[np.int64(3306), np.int64(111), np.int64(10001), np.int64(143)]","[np.str_('MYSQL'), np.str_('PORTMAP'), np.str_('HTTP'), np.str_('IMAP')]",0
2.210.28.193,9,192,"[np.int64(2077), np.int64(995), np.int64(2201), np.int64(25), np.int64(21), np.int64(5060)]","[np.str_('HTTP'), np.str_('POP3'), np.str_('UNKNOWN'), np.str_('SMTP'), np.str_('FTP'), np.str_('SIP')]",0
2.210.28.193,9,193,"[np.int64(1500), np.int64(25), np.int64(631), np.int64(143)]","[np.str_('HTTP'), np.str_('SMTP'), np.str_('IPP'), np.str_('IMAP')]",0
2.210.28.193,9,194,"[np.int64(53), np.int64(5374), np.int64(80)]","[np.str_('DNS'), np.str_('SSH'), np.str_('HTTP')]",0
2.210.28.193,9,195,"[np.int64(465), np.int64(2084), np.int64(21)]","[np.str_('SMTP'), np.str_('HTTP'), np.str_('FTP')]",0
2.210.28.193,9,196,"[np.int64(443), np.int64(25), np.int64(143)]","[np.str_('HTTP'), np.str_('SMTP'), np.str_('IMAP')]",0
2.210.28.193,9,197,"[np.int64(53), np.int64(143), np.int64(2096)]","[np.str_('DNS'), np.str_('IMAP'), np.str_('HTTP')]",0
2.210.28.193,9,198,"[np.int64(80), np.int64(25), np.int64(27017)]","[np.str_('HTTP'), np.str_('SMTP'), np.str_('MONGODB')]",0
2.210.28.193,9,199,[np.int64(443)],[np.str_('HTTP')],0
